Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem
"A","Acessórios",258037,"2101","Almofada Inflável com Pegadores - Coleção Fetish Fantasy Series",1210,"","","http://www.lojadoprazer.com/xg/XG2101.jpg",True,1,1,True,0,49.9,149.9,0,0,0,,,False,False,"T2101.jpg","2101.jpg","2101.jpg","","","","Estados Unidos (USA)","Pipedream","","",0,,1098,"15169,11623,14523,12106,12379",,0,0,,"iframe/2101.html","almofada inflável,almofada erótica,almofada com pegadores,almofada sexo",0,0,"",True,False,0,0,0,"","","","","","",""
"A","Acessórios",258148,"2101","Almofada Inflável com Pegadores - Coleção Fetish Fantasy Series",1210,"","","http://www.lojadoprazer.com/xg/XG2101.jpg",True,1,1,True,0,49.9,149.9,0,0,0,,,False,False,"T2101.jpg","2101.jpg","2101.jpg","","","","Estados Unidos (USA)","Pipedream","","",0,,1098,"15169,11623,14523,12106,12379",,0,0,,"iframe/2101.html","almofada inflável,almofada erótica,almofada com pegadores,almofada sexo",0,0,"",True,False,0,0,0,"","","","","","",""
"A","Acessórios",258262,"2101","Almofada Inflável com Pegadores - Coleção Fetish Fantasy Series",1210,"","","http://www.lojadoprazer.com/xg/XG2101.jpg",True,1,1,True,0,49.9,149.9,0,0,0,,,False,False,"T2101.jpg","2101.jpg","2101.jpg","","","","Estados Unidos (USA)","Pipedream","","",0,,1098,"15169,11623,14523,12106,12379",,0,0,,"iframe/2101.html","almofada inflável,almofada erótica,almofada com pegadores,almofada sexo",0,0,"",True,False,0,0,0,"","","","","","",""
"A","Acessórios",258166,"226086","Amarras de Tecido Submission",65,"","","http://www.lojadoprazer.com/xg/XG226086.jpg",True,0,1,True,0,5.55,16.9,0,0,0,,,False,False,"5036_01.jpg","5036_01.jpg","5036_01.jpg","","","","","","","",15,,0,"226092,226093,226094,226095,226096",,0,0,,"iframe/226086.html","submission,sado,sadomasoquismo,bondage",0,0,"",True,False,0,0,0,"","","","","","",""
"A","Acessórios",258160,"226087","Amarras de Vinil Submission",65,"","","http://www.lojadoprazer.com/xg/XG226087.jpg",True,0,1,True,0,9.18,27.9,0,0,0,,,False,False,"5036_01.jpg","5036_01.jpg","5036_01.jpg","","","","","","","",15,,0,"226092,226093,226094,226095,226096",,0,0,,"iframe/226087.html","submission,sado,sadomasoquismo",0,0,"",True,False,0,0,0,"","","","","","","661"
"A","Acessórios",258058,"226087","Amarras de Vinil Submission",65,"","","http://www.lojadoprazer.com/xg/XG226087.jpg",True,1,1,True,0,9.18,27.9,0,0,0,,,False,False,"5036_01.jpg","5036_01.jpg","5036_01.jpg","","","","","","","",15,,0,"226092,226093,226094,226095,226096",,0,0,,"iframe/226087.html","submission,sado,sadomasoquismo",0,0,"",True,False,0,0,0,"","","","","","",""
"A","Acessórios",258289,"226087","Amarras de Vinil Submission",65,"","","http://www.lojadoprazer.com/xg/XG226087.jpg",True,1,1,True,0,9.18,27.9,0,0,0,,,False,False,"produto-modelo-teste-03.jpg","produto-modelo-teste-03.jpg","produto-modelo-teste-03.jpg","","","","","","","",15,,0,"226092,226093,226094,226095,226096",,0,0,,"iframe/226087.html","submission,sado,sadomasoquismo",0,0,"",True,False,0,0,0,"","","","","","",""
"A","Acessórios",258190,"19503","Bomba para Inflar Bonecas e Bonecos Comprida",300,"","","http://www.lojadoprazer.com/xg/XG19503.jpg",True,1,1,True,0,0,39.9,0,0,0,,,False,False,"T19503.jpg","19503.jpg","19503.jpg","","","","Brasil","","","",0,,1086,"19504,19505,19506,19507",,0,0,,"iframe/19503.html","Bomba de inflar,Bomba para encher,bomba para bonecas,bomba comprida,bomba para boneco,bomba de boneca,bomba de encher",0,0,"",True,False,0,0,0,"","","","","","",""
"A","Acessórios",258307,"19503","Bomba para Inflar Bonecas e Bonecos Comprida",300,"","","http://www.lojadoprazer.com/xg/XG19503.jpg",True,1,1,True,0,0,39.9,0,0,0,,,False,False,"T19503.jpg","19503.jpg","19503.jpg","","","","Brasil","","","",0,,1086,"19504,19505,19506,19507",,0,0,,"iframe/19503.html","Bomba de inflar,Bomba para encher,bomba para bonecas,bomba comprida,bomba para boneco,bomba de boneca,bomba de encher",0,0,"",True,False,0,0,0,"","","","","","",""
"A","Acessórios",257998,"19503","Bomba para Inflar Bonecas e Bonecos Comprida",300,"","","http://www.lojadoprazer.com/xg/XG19503.jpg",True,1,1,True,0,0,39.9,0,0,0,,,False,False,"T19503.jpg","19503.jpg","19503.jpg","","","","Brasil","","","",0,,1086,"19504,19505,19506,19507",,0,0,,"iframe/19503.html","Bomba de inflar,Bomba para encher,bomba para bonecas,bomba comprida,bomba para boneco,bomba de boneca,bomba de encher",0,0,"",True,False,0,0,0,"","","","","","",""
